direction,orientation,station,subjective_distance
EAST,1,1,5
EAST,1,1,4
EAST,1,1,3
EAST,1,1,3
EAST,1,1,4
EAST,1,1,1
EAST,1,1,4
EAST,1,1,4
EAST,1,1,5
EAST,1,1,3
EAST,1,1,2
EAST,1,1,4
EAST,1,1,5
EAST,1,1,3
EAST,1,1,3
EAST,1,1,4
EAST,1,1,2
EAST,1,1,4
EAST,1,1,4
EAST,1,1,5
EAST,1,1,2
EAST,1,1,3
EAST,1,1,4
EAST,1,1,5
EAST,1,1,5
EAST,1,1,4
WEST,2,1,2
WEST,2,1,4
WEST,2,1,3
WEST,2,1,3
WEST,2,1,2
WEST,2,1,4
WEST,2,1,3
WEST,2,1,3
WEST,2,1,2
WEST,2,1,1
WEST,2,1,2
WEST,2,1,4
WEST,2,1,3
WEST,2,1,2
WEST,2,1,2
WEST,2,1,5
WEST,2,1,2
WEST,2,1,2
WEST,2,1,4
WEST,2,1,3
WEST,2,1,2
WEST,2,1,1
WEST,2,1,2
WEST,2,1,2
WEST,2,1,3
EAST,1,2,3
EAST,1,2,1
EAST,1,2,4
EAST,1,2,1
EAST,1,2,3
EAST,1,2,3
EAST,1,2,2
EAST,1,2,4
EAST,1,2,3
EAST,1,2,3
EAST,1,2,3
EAST,1,2,2
EAST,1,2,4
EAST,1,2,1
EAST,1,2,2
EAST,1,2,3
EAST,1,2,3
EAST,1,2,3
EAST,1,2,2
EAST,1,2,4
EAST,1,2,5
EAST,1,2,3
EAST,1,2,3
EAST,1,2,1
EAST,1,2,3
EAST,1,2,3
WEST,2,2,2
WEST,2,2,3
WEST,2,2,1
WEST,2,2,1
WEST,2,2,2
WEST,2,2,1
WEST,2,2,3
WEST,2,2,1
WEST,2,2,2
WEST,2,2,1
WEST,2,2,3
WEST,2,2,1
WEST,2,2,1
WEST,2,2,1
WEST,2,2,2
WEST,2,2,2
WEST,2,2,1
WEST,2,2,1
WEST,2,2,1
WEST,2,2,3
WEST,2,2,1
WEST,2,2,1
WEST,2,2,2
WEST,2,2,1
WEST,2,2,3
EAST,1,3,1
EAST,1,3,2
EAST,1,3,2
EAST,1,3,3
EAST,1,3,1
EAST,1,3,1
EAST,1,3,2
EAST,1,3,1
EAST,1,3,3
EAST,1,3,2
EAST,1,3,1
EAST,1,3,1
EAST,1,3,2
EAST,1,3,1
EAST,1,3,3
EAST,1,3,1
EAST,1,3,2
EAST,1,3,1
EAST,1,3,1
EAST,1,3,1
EAST,1,3,2
EAST,1,3,2
EAST,1,3,1
WEST,2,3,1
WEST,2,3,1
WEST,2,3,5
WEST,2,3,1
WEST,2,3,5
WEST,2,3,2
WEST,2,3,3
WEST,2,3,1
WEST,2,3,1
WEST,2,3,2
WEST,2,3,4
WEST,2,3,2
WEST,2,3,3
WEST,2,3,3
WEST,2,3,2
WEST,2,3,1
WEST,2,3,2
WEST,2,3,2
WEST,2,3,1
WEST,2,3,4
WEST,2,3,1
WEST,2,3,1
WEST,2,3,2
WEST,2,3,3
WEST,2,3,2
WEST,2,3,2
EAST,1,4,4
EAST,1,4,1
EAST,1,4,1
EAST,1,4,4
EAST,1,4,3
EAST,1,4,3
EAST,1,4,4
EAST,1,4,5
EAST,1,4,2
EAST,1,4,3
EAST,1,4,4
EAST,1,4,2
EAST,1,4,1
EAST,1,4,3
EAST,1,4,3
EAST,1,4,2
EAST,1,4,4
EAST,1,4,3
EAST,1,4,4
EAST,1,4,2
EAST,1,4,1
EAST,1,4,2
EAST,1,4,2
EAST,1,4,3
EAST,1,4,2
EAST,1,4,4
WEST,2,4,2
WEST,2,4,5
WEST,2,4,4
WEST,2,4,5
WEST,2,4,3
WEST,2,4,4
WEST,2,4,4
WEST,2,4,3
WEST,2,4,5
WEST,2,4,6
WEST,2,4,2
WEST,2,4,5
WEST,2,4,5
WEST,2,4,4
WEST,2,4,3
WEST,2,4,4
WEST,2,4,5
WEST,2,4,4
WEST,2,4,2
WEST,2,4,5
WEST,2,4,3
WEST,2,4,4
WEST,2,4,5
WEST,2,4,5
WEST,2,4,3
